						Earth VS Aliens War Report

Td			ID   				Tj				Df				Dd				Db
72			2360   				43				2				27				29
72			2581   				71				0				1				1
72			2571   				70				0				2				2
72			463   				63				H				0				9
72			2209   				27				10				35				45
72			2211   				27				10				35				45
73			2319   				38				14				21				35
74			2203   				26				24				24				48
74			2589   				73				0				1				1
74			2591   				73				0				1				1
74			2588   				73				0				1				1
74			360   				46				H				0				28
74			2212   				27				11				36				47
74			2219   				27				11				36				47
75			2334   				39				15				21				36
75			2339   				39				15				21				36
76			2228   				28				11				37				48
76			2356   				43				6				27				33
77			2343   				40				15				22				37
77			2346   				40				15				22				37
77			2349   				40				15				22				37
78			2239   				29				12				37				49
78			2241   				29				12				37				49
79			2243   				30				12				37				49
79			2244   				30				12				37				49
79			2354   				43				16				20				36
79			2254   				31				12				36				48
79			2255   				31				12				36				48
79			2257   				31				12				36				48
80			2578   				71				5				4				9
80			2646   				79				0				1				1
80			2648   				79				0				1				1
80			559   				75				H				0				5
81			2264   				33				11				37				48
81			2266   				33				11				37				48
81			2268   				33				11				37				48
81			2271   				33				12				36				48
82			2187   				25				8				49				57
82			2210   				27				10				45				55
82			2651   				81				0				1				1
82			2650   				81				0				1				1
82			2645   				79				1				2				3
83			2275   				34				12				37				49
83			2276   				34				12				37				49
83			2406   				48				14				21				35
84			2225   				28				13				43				56
84			2280   				34				24				26				50
84			2670   				83				0				1				1
85			2677   				84				0				1				1
85			2668   				83				0				2				2
86			2287   				35				12				39				51
86			2288   				35				12				39				51
87			2289   				35				12				40				52
87			2453   				55				4				28				32
87			2247   				30				33				24				57
87			2691   				86				0				1				1
87			2692   				86				0				1				1
88			110   				15				6				67				73
88			2158   				21				5				62				67
88			2399   				48				18				22				40
88			2403   				48				18				22				40
89			2330   				39				17				33				50
90			2291   				35				13				42				55
90			2156   				21				13				56				69
90			2709   				89				0				1				1
90			2713   				89				0				1				1
90			585   				81				H				0				9
90			2297   				36				12				42				54
91			2298   				36				13				42				55
91			2299   				36				13				42				55
92			2300   				36				13				43				56
92			2301   				36				13				43				56
93			2747   				92				0				1				1
93			2302   				36				13				44				57
94			2754   				93				0				1				1
94			2749   				93				0				1				1
94			2304   				36				13				45				58
94			2308   				37				13				44				57
94			2311   				37				13				44				57
95			2769   				94				0				1				1
95			2765   				94				0				1				1
96			2411   				51				18				27				45
97			2458   				55				35				7				42
97			2312   				37				14				46				60
98			2314   				37				14				47				61
98			2317   				37				14				47				61
98			2418   				52				18				28				46
98			2419   				52				18				28				46
98			2265   				33				4				61				65
98			2791   				97				0				1				1
98			2789   				97				0				1				1
98			2787   				97				0				1				1
98			2783   				97				0				1				1
99			2420   				52				19				28				47
99			2421   				52				19				28				47
99			2422   				52				20				27				47
99			2475   				58				5				36				41
99			2318   				37				15				47				62
100			2449   				54				42				4				46
100			2252   				30				22				48				70
101			2322   				38				15				48				63
101			2325   				38				15				48				63
101			2328   				38				15				48				63
102			2329   				38				15				49				64
102			2483   				58				30				14				44
102			2821   				101				0				1				1
102			2823   				101				0				1				1
103			2309   				37				14				52				66
104			2208   				26				3				75				78
104			2833   				103				0				1				1
104			2834   				103				0				1				1
105			138   				19				9				77				86
105			2837   				104				0				1				1
105			2841   				104				0				1				1
105			743   				99				H				0				6
106			2331   				39				16				51				67
106			2395   				47				27				32				59
107			2723   				90				13				4				17
107			2857   				106				0				1				1
107			2464   				57				20				30				50
108			2213   				27				6				75				81
108			2306   				36				51				21				72
108			2868   				107				0				1				1
108			2866   				107				0				1				1
108			2865   				107				0				1				1
